"","YEAR","NUMBER.OF.FIRES","damage"
"1",1933,1994,"129210/318636"
"2",1934,2338,"363052/563710"
"3",1935,1447,"127262/165543"
"4",1936,3805,"756696/1877147"
"5",1937,2907,"71312/151584"
"6",1938,4150,"221061/404225"
"7",1939,2491,"513620/847579"
"8",1940,4497,"156015/272178"
"9",1941,5460,"278599/515737"
"10",1942,5236,"573597/1484864"
"11",1943,2163,"553328/1502027"
"12",1944,2034,"648838/1365126"
"13",1945,2594,"509998/2085984"
"14",1946,2643,"234879/622265"
"15",1947,2473,"256472/2251605"
"16",1948,1973,"133223/717564"
"17",1949,2608,"132253/605102"
"18",1950,2264,"303393/2025079"
"19",1951,2159,"148360/1160098"
"20",1952,2263,"120974/1120460"
"21",1953,2080,"125150/686677"
"22",1954,2017,"140072/1349158"
"23",1955,1941,"161488/6732934"
"24",1956,1758,"64617/764612"
"25",1957,2936,"124316/547181"
"26",1958,3087,"146159/1125731"
"27",1959,3167,"147658/3012055"
"28",1960,2869,"123743/2634066"
"29",1961,5005,"327951/4538514"
"30",1962,5371,"130098/1347064"
"31",1963,4672,"37222/570967"
"32",1964,6262,"219552/6472419"
"33",1965,5878,"253138/5183049"
"34",1966,7638,"119368/8042547"
"35",1967,4572,"163160/6405532"
"36",1968,5696,"121039/2537330"
"37",1969,5859,"79195/1554437"
"38",1970,5170,"208479/21032477"
"39",1971,6001,"45008/5435880"
"40",1972,6167,"64714/6697033"
"41",1973,6984,"117669/9958751"
"42",1974,8509,"93898/8538021"
"43",1975,8029,"93967/10860095"
"44",1977,8132,"123904/41657801"
"45",1978,8496,"88586/26799516"
"46",1979,10038,"247006/30474267"
"47",1980,9159,"160291/17584633"
"48",1981,7497,"209825/55070300"
"49",1982,5709,"69158/22939500"
"50",1983,5969,"70773/27922600"
"51",1984,7830,"103670/23656700"
"52",1985,7238,"223282/42981100"
"53",1986,7149,"53631/19761900"
"54",1987,8063,"86945/46814999"
"55",1988,8130,"190835/64958220"
"56",1989,6635,"73601/27365313"
"57",1990,7283,"212142/95707749"
"58",1991,6238,"23154/26904193"
"59",1992,7939,"191490/170775023"
"60",1993,6988,"122606/54077726"
"61",1994,7207,"140792/42004781"
"62",1995,6601,"121198/32457602"
"63",1996,7237,"232624/100283172"
"64",1997,6835,"57788/81919419"
"65",1998,5227,"92456/27431318"
"66",1999,7562,"285272/134258534"
"67",2000,5177,"72718/29876853"
"68",2001,6223,"90985/87295001"
"69",2002,5759,"122809/173976860"
"70",2003,5961,"404328/974186857"
"71",2004,5574,"168134/126790417"
"72",2005,4908,"74004/49392943"
"73",2006,4805,"222896/60270382"
"74",2007,4111,"530232/254172735"
"75",2008,4052,"439717/889308348"
"76",2009,3391,"107031/33956897"
"77",2010,3153,"30234/3397442"
"78",2011,3555,"151357/254534704"
"79",2012,3420,"140818/28213200"
"80",2013,4152,"142924/29799753"
"81",2014,3215,"167532/20034168"
"82",2015,3543,"297647/3061836666"
"83",2016,3233,"250996/148266893"
